,Year,Month,Avr.ID,Avrakning,Medlemsnummer,Avr.Omr,Avrakningsomrade,Verknummer, ,Typ av framforande inom avrakningsomradet,Land,Roll,Andel%,Belopp,Avtalsnummer,Avtalsnamn,Filmnummer,Filmtitel,Episodtitel,Rattighet,Antal Spelningar
86,2018,June,1197,Juniutbetalning 2018,5033743,10,Sveriges Radio,27208757,1040,P4,SVERIGE,CA,"11,12",172.9,,,,,,PR,
87,2018,June,1197,Juniutbetalning 2018,5033743,10,Sveriges Radio,27208757,1041,P4 LOKAL,SVERIGE,CA,"11,12",97.7,,,,,,PR,
88,2018,June,1197,Juniutbetalning 2018,5033743,10,Sveriges Radio,27208757,553,P5 STOCKHOLM,SVERIGE,CA,"11,12",1.21,,,,,,PR,
89,2018,June,1197,Juniutbetalning 2018,5033743,10,Sveriges Radio,35175987,1041,P4 LOKAL,SVERIGE,CA,"25,0",5.3,,,,,,PR,
90,2018,June,1197,Juniutbetalning 2018,5033743,10,Sveriges Radio,35598261,1030,P3,SVERIGE,CA,"18,8",149.14,,,,,,PR,
91,2018,June,1197,Juniutbetalning 2018,5033743,10,Sveriges Radio,35598261,553,P5 STOCKHOLM,SVERIGE,CA,"18,8",1.09,,,,,,PR,
92,2018,June,1197,Juniutbetalning 2018,5033743,11,Sveriges Television,27208757,011,SVT1 BAKGRUND,SVERIGE,CA,"11,12",47.96,,,,,,PR,
93,2018,June,1197,Juniutbetalning 2018,5033743,11,Sveriges Television,27208757,021,SVT1 VISUELLT,SVERIGE,CA,"11,12",236.24,,,,,,PR,
94,2018,June,1197,Juniutbetalning 2018,5033743,11,Sveriges Television,27208757,073,SVT24 BAKGRUND,SVERIGE,CA,"11,12",1.72,,,,,,PR,
95,2018,June,1197,Juniutbetalning 2018,5033743,11,Sveriges Television,27208757,215,BARNKANALEN,SVERIGE,CA,"11,12",0.88,,,900358.0,STJÄRNHOPPNINGEN 2017,,PR,
96,2018,June,1197,Juniutbetalning 2018,5033743,11,Sveriges Television,27208757,511,SVT1 SKIVA,SVERIGE,CA,"11,12",1039.81,,,,,,PR,
97,2018,June,1197,Juniutbetalning 2018,5033743,11,Sveriges Television,27208757,512,SVT2 SKIVA,SVERIGE,CA,"11,12",23.27,,,,,,PR,
98,2018,June,1197,Juniutbetalning 2018,5033743,11,Sveriges Television,32535896,073,SVT24 BAKGRUND,SVERIGE,CA,"12,5",0.13,,,,,,PR,
99,2018,June,1197,Juniutbetalning 2018,5033743,11,Sveriges Television,32535896,511,SVT1 SKIVA,SVERIGE,CA,"12,5",84.81,,,,,,PR,
100,2018,June,1197,Juniutbetalning 2018,5033743,11,Sveriges Television,35175987,073,SVT24 BAKGRUND,SVERIGE,CA,"25,0",0.51,,,,,,PR,
101,2018,June,1197,Juniutbetalning 2018,5033743,11,Sveriges Television,35175987,511,SVT1 SKIVA,SVERIGE,CA,"25,0",105.18,,,,,,PR,
102,2018,June,1197,Juniutbetalning 2018,5033743,12,Kommersiell radio,27208757,801,MEGAPOL,SVERIGE,CA,"11,12",619.2,,,,,,PR,
103,2018,June,1197,Juniutbetalning 2018,5033743,12,Kommersiell radio,27208757,808,NRJ,SVERIGE,CA,"11,12",457.82,,,,,,PR,
104,2018,June,1197,Juniutbetalning 2018,5033743,12,Kommersiell radio,27208757,837,RIX,SVERIGE,CA,"11,12",301.8,,,,,,PR,
105,2018,June,1197,Juniutbetalning 2018,5033743,12,Kommersiell radio,27208757,893,Power Hit Radio,SVERIGE,CA,"11,12",24.55,,,,,,PR,
106,2018,June,1197,Juniutbetalning 2018,5033743,12,Kommersiell radio,27208757,949,EAST FM,SVERIGE,CA,"11,12",2.93,,,,,,PR,
107,2018,June,1197,Juniutbetalning 2018,5033743,12,Kommersiell radio,35175994,949,EAST FM,SVERIGE,CA,"10,0",0.58,,,,,,PR,
108,2018,June,1197,Juniutbetalning 2018,5033743,12,Kommersiell radio,37711023,949,EAST FM,SVERIGE,CA,"35,0",17.8,,,,,,PR,
109,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,203,TV3,SVERIGE,CA,"11,12",3.0,,,846363.0,LYXFÄLLAN,1901,PR,
110,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,203,TV3,SVERIGE,CA,"11,12",1.89,,,863710.0,PARNEVIKS,,PR,
111,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,204,TV4,SVERIGE,CA,"11,12",62.26,,,904616.0,IDOL 2017,,PR,
